"REF_DATE","GEO","DGUID","Non-permanent resident types","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-01","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work and study permits","Persons","249","units","0","v1566927594","1.5","4469","","","","0"
"2023-04","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work and study permits","Persons","249","units","0","v1566927594","1.5","5405","","","","0"
"2023-07","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work and study permits","Persons","249","units","0","v1566927594","1.5","6699","","","","0"
"2023-10","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work and study permits","Persons","249","units","0","v1566927594","1.5","7611","","","","0"
"2024-01","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work and study permits","Persons","249","units","0","v1566927594","1.5","9181","","","","0"
"2024-04","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work and study permits","Persons","249","units","0","v1566927594","1.5","11921","","","","0"
"2024-07","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work and study permits","Persons","249","units","0","v1566927594","1.5","15291","","","","0"
"2024-10","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work and study permits","Persons","249","units","0","v1566927594","1.5","16765","","","","0"
"2025-01","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work and study permits","Persons","249","units","0","v1566927594","1.5","20066","","","","0"
"2025-04","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work and study permits","Persons","249","units","0","v1566927594","1.5","23455","","","","0"
"2025-07","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work and study permits","Persons","249","units","0","v1566927594","1.5","24915","","","","0"
"2021-07","Canada","2021A000011124","Asylum claimants, protected persons and related groups without work or study permits","Persons","249","units","0","v1566927595","1.6","68316","","","","0"
"2021-10","Canada","2021A000011124","Asylum claimants, protected persons and related groups without work or study permits","Persons","249","units","0","v1566927595","1.6","69008","","","","0"
"2022-01","Canada","2021A000011124","Asylum claimants, protected persons and related groups without work or study permits","Persons","249","units","0","v1566927595","1.6","82236","","","","0"
"2022-04","Canada","2021A000011124","Asylum claimants, protected persons and related groups without work or study permits","Persons","249","units","0","v1566927595","1.6","95283","","","","0"
"2022-07","Canada","2021A000011124","Asylum claimants, protected persons and related groups without work or study permits","Persons","249","units","0","v1566927595","1.6","98357","","","","0"
"2022-10","Canada","2021A000011124","Asylum claimants, protected persons and related groups without work or study permits","Persons","249","units","0","v1566927595","1.6","99020","","","","0"
"2023-01","Canada","2021A000011124","Asylum claimants, protected persons and related groups without work or study permits","Persons","249","units","0","v1566927595","1.6","105538","","","","0"
"2023-04","Canada","2021A000011124","Asylum claimants, protected persons and related groups without work or study permits","Persons","249","units","0","v1566927595","1.6","108724","","","","0"
"2023-07","Canada","2021A000011124","Asylum claimants, protected persons and related groups without work or study permits","Persons","249","units","0","v1566927595","1.6","107240","","","","0"
"2023-10","Canada","2021A000011124","Asylum claimants, protected persons and related groups without work or study permits","Persons","249","units","0","v1566927595","1.6","114931","","","","0"
"2024-01","Canada","2021A000011124","Asylum claimants, protected persons and related groups without work or study permits","Persons","249","units","0","v1566927595","1.6","129253","","","","0"
"2024-04","Canada","2021A000011124","Asylum claimants, protected persons and related groups without work or study permits","Persons","249","units","0","v1566927595","1.6","131077","","","","0"
"2024-07","Canada","2021A000011124","Asylum claimants, protected persons and related groups without work or study permits","Persons","249","units","0","v1566927595","1.6","131116","","","","0"
"2024-10","Canada","2021A000011124","Asylum claimants, protected persons and related groups without work or study permits","Persons","249","units","0","v1566927595","1.6","131287","","","","0"
"2025-01","Canada","2021A000011124","Asylum claimants, protected persons and related groups without work or study permits","Persons","249","units","0","v1566927595","1.6","137477","","","","0"
"2025-04","Canada","2021A000011124","Asylum claimants, protected persons and related groups without work or study permits","Persons","249","units","0","v1566927595","1.6","134788","","","","0"
"2025-07","Canada","2021A000011124","Asylum claimants, protected persons and related groups without work or study permits","Persons","249","units","0","v1566927595","1.6","135845","","","","0"
"2021-07","Canada","2021A000011124","Total, permit holders and their family members","Persons","249","units","0","v1566927596","1.7","1193649","","","","0"
"2021-10","Canada","2021A000011124","Total, permit holders and their family members","Persons","249","units","0","v1566927596","1.7","1280111","","","","0"
"2022-01","Canada","2021A000011124","Total, permit holders and their family members","Persons","249","units","0","v1566927596","1.7","1252601","","","","0"
"2022-04","Canada","2021A000011124","Total, permit holders and their family members","Persons","249","units","0","v1566927596","1.7","1281010","","","","0"
"2022-07","Canada","2021A000011124","Total, permit holders and their family members","Persons","249","units","0","v1566927596","1.7","1407997","","","","0"
"2022-10","Canada","2021A000011124","Total, permit holders and their family members","Persons","249","units","0","v1566927596","1.7","1606770","","","","0"
"2023-01","Canada","2021A000011124","Total, permit holders and their family members","Persons","249","units","0","v1566927596","1.7","1733552","","","","0"
"2023-04","Canada","2021A000011124","Total, permit holders and their family members","Persons","249","units","0","v1566927596","1.7","1813953","","","","0"
"2023-07","Canada","2021A000011124","Total, permit holders and their family members","Persons","249","units","0","v1566927596","1.7","2000712","","","","0"
"2023-10","Canada","2021A000011124","Total, permit holders and their family members","Persons","249","units","0","v1566927596","1.7","2283700","","","","0"
"2024-01","Canada","2021A000011124","Total, permit holders and their family members","Persons","249","units","0","v1566927596","1.7","2413034","","","","0"
"2024-04","Canada","2021A000011124","Total, permit holders and their family members","Persons","249","units","0","v1566927596","1.7","2539910","","","","0"
"2024-07","Canada","2021A000011124","Total, permit holders and their family members","Persons","249","units","0","v1566927596","1.7","2640257","","","","0"
"2024-10","Canada","2021A000011124","Total, permit holders and their family members","Persons","249","units","0","v1566927596","1.7","2719492","","","","0"
