"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017-07","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","137.7","","","","1"
"2017-08","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","138.0","","","","1"
"2017-09","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","138.1","","","","1"
"2017-10","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","138.6","","","","1"
"2017-11","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","138.9","","","","1"
"2017-12","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","139.2","","","","1"
"2018-01","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","139.7","","","","1"
"2018-02","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","140.0","","","","1"
"2018-03","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","140.0","","","","1"
"2018-04","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","140.3","","","","1"
"2018-05","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","140.4","","","","1"
"2018-06","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","140.5","","","","1"
"2018-07","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","141.0","","","","1"
"2018-08","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","141.2","","","","1"
"2018-09","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","141.5","","","","1"
"2018-10","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","142.0","","","","1"
"2018-11","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","142.3","","","","1"
"2018-12","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","142.3","","","","1"
"2019-01","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","143.0","","","","1"
"2019-02","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","143.4","","","","1"
"2019-03","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","143.8","","","","1"
