"REF_DATE","GEO","DGUID","Components of population growth","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010-10","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","6215","","","","0"
"2011-01","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","6018","","","","0"
"2011-04","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","11160","","","","0"
"2011-07","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","14070","","","","0"
"2011-10","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","6027","","","","0"
"2012-01","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","5984","","","","0"
"2012-04","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","11089","","","","0"
"2012-07","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","15023","","","","0"
"2012-10","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","5663","","","","0"
"2013-01","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","5622","","","","0"
"2013-04","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","10686","","","","0"
"2013-07","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","16003","","","","0"
"2013-10","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","5556","","","","0"
"2014-01","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","5388","","","","0"
"2014-04","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","9942","","","","0"
"2014-07","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","15647","","","","0"
"2014-10","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","6027","","","","0"
"2015-01","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","5431","","","","0"
